timestamp,L_ax,L_ay,L_az,L_gx,L_gy,L_gz,R_ax,R_ay,R_az,R_gx,R_gy,R_gz,L_punch_cnt,R_punch_cnt,label,activity_label
993840,9.559999,3.75,1.47,-0.453,-0.021,-0.098,-7.44,6.87,-6.28,-0.027,0.02,0.007,14,114,UNKNOWN,0
993855,9.559999,3.75,1.47,-0.453,-0.021,-0.098,-7.37,6.85,-6.25,-0.034,0.033,0.015,14,114,UNKNOWN,0
993870,9.559999,3.75,1.47,-0.453,-0.021,-0.098,-7.34,6.88,-6.28,-0.038,0.018,0.016,14,114,UNKNOWN,0
993885,9.54,3.88,1.66,-0.46,-0.03,-0.042,-7.44,6.93,-6.27,-0.038,0.013,0.017,14,114,UNKNOWN,0
993900,9.54,3.88,1.66,-0.46,-0.03,-0.042,-7.43,6.96,-6.25,-0.03,0.019,0.017,14,114,UNKNOWN,2
993915,9.54,3.88,1.66,-0.46,-0.03,-0.042,-7.52,7.02,-6.27,-0.024,0.011,0.015,14,114,UNKNOWN,2
993930,9.54,3.88,1.66,-0.46,-0.03,-0.042,-7.51,6.95,-6.3,-0.032,0.028,0.026,14,114,UNKNOWN,2
993945,9.54,3.88,1.66,-0.46,-0.03,-0.042,-7.55,6.96,-6.22,-0.018,0.022,0.015,14,114,UNKNOWN,2
993960,9.54,3.88,1.66,-0.46,-0.03,-0.042,-7.61,7,-6.24,-0.003,0.038,0.006,14,114,UNKNOWN,2
993975,9.54,3.88,1.66,-0.46,-0.03,-0.042,-7.54,6.93,-6.22,0.013,0.058,-0.003,14,114,UNKNOWN,2
993990,9.54,3.88,1.66,-0.46,-0.03,-0.042,-7.54,6.88,-6.24,0.033,0.055,-0.016,14,114,UNKNOWN,2
994005,9.469999,3.89,1.46,-0.417,0.018,-0.017,-7.46,6.86,-6.25,0.036,0.066,-0.016,14,114,UNKNOWN,2
994020,9.469999,3.89,1.46,-0.417,0.018,-0.017,-7.43,6.83,-6.22,0.033,0.056,-0.012,14,114,UNKNOWN,2
994035,9.469999,3.89,1.46,-0.417,0.018,-0.017,-7.51,6.86,-6.31,0.021,0.049,-0.004,14,114,UNKNOWN,1
994050,9.469999,3.89,1.46,-0.417,0.018,-0.017,-7.43,6.87,-6.44,-0.002,0.067,0.008,14,114,UNKNOWN,1
994065,9.469999,3.89,1.46,-0.417,0.018,-0.017,-7.39,6.89,-6.27,-0.001,0.059,-0.003,14,114,UNKNOWN,1
994080,9.469999,3.89,1.46,-0.417,0.018,-0.017,-7.47,7.02,-6.27,0.009,0.057,-0.006,14,114,UNKNOWN,1
994095,9.62,3.82,1.57,-0.442,-0.04,-0.042,-7.5,7.01,-6.24,0.016,0.077,0.004,14,114,UNKNOWN,1
994110,9.62,3.82,1.57,-0.442,-0.04,-0.042,-7.42,6.95,-6.25,0.019,0.095,0,14,114,UNKNOWN,1
