timestamp,L_ax,L_ay,L_az,L_gx,L_gy,L_gz,R_ax,R_ay,R_az,R_gx,R_gy,R_gz,L_punch_cnt,R_punch_cnt,label,activity_label
11787976,-7,5.5,4.55,0.723,0.03,0.252,3.41,-6.1,1.9,-0.508,-0.009,-0.701,50,101,UNKNOWN,2
11787992,-7,5.5,4.55,0.723,0.03,0.252,3.58,-6.16,1.99,-0.51,-0.069,-0.736,50,101,UNKNOWN,2
11788007,-7,5.5,4.55,0.723,0.03,0.252,3.12,-6.09,1.6,-0.53,-0.083,-0.778,50,101,UNKNOWN,2
11788022,-7,5.5,4.55,0.723,0.03,0.252,2.57,-5.86,1.25,-0.538,0.023,-0.799,50,101,UNKNOWN,2
11788037,-7,5.5,4.55,0.723,0.03,0.252,2.24,-5.75,0.99,-0.578,0.111,-0.767,50,101,UNKNOWN,2
11788052,-7,5.5,4.55,0.723,0.03,0.252,1.87,-5.43,1.02,-0.61,0.223,-0.718,50,101,UNKNOWN,2
11788067,-7,5.5,4.55,0.723,0.03,0.252,2,-5.25,1.51,-0.619,0.335,-0.656,50,101,UNKNOWN,2
11788082,-7,5.5,4.55,0.723,0.03,0.252,2.29,-5.08,1.97,-0.595,0.443,-0.599,50,101,UNKNOWN,1
11788097,-7.24,3.08,2.97,1.014,-0.041,0.032,2.86,-5.12,2.07,-0.567,0.49,-0.57,50,101,UNKNOWN,1
11788112,-7.24,3.08,2.97,1.014,-0.041,0.032,2.84,-5,1.72,-0.55,0.508,-0.545,50,101,UNKNOWN,1
11788127,-7.24,3.08,2.97,1.014,-0.041,0.032,2.85,-5.02,1.39,-0.545,0.52,-0.495,50,101,UNKNOWN,1
11788142,-7.24,3.08,2.97,1.014,-0.041,0.032,2.84,-4.94,1.19,-0.558,0.521,-0.441,50,101,UNKNOWN,1
11788157,-7.24,3.08,2.97,1.014,-0.041,0.032,2.86,-4.78,1.35,-0.557,0.526,-0.399,50,101,UNKNOWN,1
11788172,-7.24,3.08,2.97,1.014,-0.041,0.032,3.07,-4.71,1.47,-0.54,0.513,-0.358,50,101,UNKNOWN,1
11788187,-7.24,3.08,2.97,1.014,-0.041,0.032,3.18,-4.62,1.55,-0.513,0.492,-0.337,50,101,UNKNOWN,1
11788202,-7.24,3.08,2.97,1.014,-0.041,0.032,3.34,-4.55,1.63,-0.478,0.488,-0.324,50,101,UNKNOWN,1
11788217,-7.24,3.08,2.97,1.014,-0.041,0.032,3.68,-4.53,1.63,-0.436,0.466,-0.312,50,101,UNKNOWN,1
11788232,-7.24,3.08,2.97,1.014,-0.041,0.032,3.78,-4.59,1.51,-0.41,0.401,-0.314,50,101,UNKNOWN,1
11788247,-7.24,3.08,2.97,1.014,-0.041,0.032,3.87,-4.54,1.53,-0.389,0.348,-0.317,50,101,UNKNOWN,1
11788262,-7.24,3.08,2.97,1.014,-0.041,0.032,4.05,-4.54,1.59,-0.366,0.259,-0.317,50,101,UNKNOWN,1
11788278,-6.34,3.06,2.95,0.241,0.107,-0.128,4.07,-4.58,1.54,-0.348,0.141,-0.316,50,101,UNKNOWN,1
11788293,-6.34,3.06,2.95,0.241,0.107,-0.128,3.89,-4.5,1.66,-0.318,0.093,-0.32,50,101,UNKNOWN,1
11788308,-6.34,3.06,2.95,0.241,0.107,-0.128,4.1,-4.65,1.56,-0.292,0.037,-0.319,50,101,UNKNOWN,1
11788323,-6.34,3.06,2.95,0.241,0.107,-0.128,3.92,-4.68,1.23,-0.271,0.007,-0.321,50,101,UNKNOWN,1
11788338,-6.33,3.57,2.68,-0.129,-0.094,-0.139,3.88,-4.73,1.02,-0.256,0.051,-0.322,50,101,UNKNOWN,1
11788353,-6.33,3.57,2.68,-0.129,-0.094,-0.139,3.79,-4.76,0.87,-0.26,0.069,-0.324,50,101,UNKNOWN,1
11788369,-6.33,3.57,2.68,-0.129,-0.094,-0.139,3.76,-4.75,0.87,-0.272,0.098,-0.319,50,101,UNKNOWN,1
11788384,-6.33,3.57,2.68,-0.129,-0.094,-0.139,3.65,-4.66,0.97,-0.28,0.137,-0.317,50,101,UNKNOWN,1
11788399,-6.33,3.57,2.68,-0.129,-0.094,-0.139,3.81,-4.59,1.32,-0.281,0.15,-0.31,50,101,UNKNOWN,1
11788414,-6.33,3.57,2.68,-0.129,-0.094,-0.139,4.03,-4.55,1.72,-0.265,0.127,-0.301,50,101,UNKNOWN,1
11788429,-6.33,3.57,2.68,-0.129,-0.094,-0.139,4.24,-4.6,1.88,-0.251,0.05,-0.303,50,101,UNKNOWN,1
11788458,-6.44,3.63,2.81,-0.176,-0.051,0.033,4.12,-4.59,1.3,-0.221,-0.014,-0.32,50,101,UNKNOWN,1
11788473,-6.44,3.63,2.81,-0.176,-0.051,0.033,3.88,-4.52,1.09,-0.225,-0.02,-0.314,50,101,UNKNOWN,1
11788489,-6.44,3.63,2.81,-0.176,-0.051,0.033,3.72,-4.51,0.92,-0.233,0.025,-0.312,50,101,UNKNOWN,1
11788504,-6.44,3.63,2.81,-0.176,-0.051,0.033,3.74,-4.42,1.1,-0.245,0.081,-0.304,50,101,UNKNOWN,1
11788519,-6.44,3.63,2.81,-0.176,-0.051,0.033,3.92,-4.49,1.33,-0.255,0.099,-0.304,50,101,UNKNOWN,1
11788534,-6.52,3.67,2.99,-0.215,0.016,-0.019,4.03,-4.49,1.36,-0.261,0.096,-0.319,50,101,UNKNOWN,1
11788550,-6.52,3.67,2.99,-0.215,0.016,-0.019,4.06,-4.4,1.4,-0.259,0.122,-0.329,50,101,UNKNOWN,1
11788565,-6.52,3.67,2.99,-0.215,0.016,-0.019,4.15,-4.34,1.38,-0.258,0.133,-0.335,50,101,UNKNOWN,1
11788580,-6.52,3.67,2.99,-0.215,0.016,-0.019,4.13,-4.37,1.25,-0.262,0.133,-0.344,50,101,UNKNOWN,1
11788595,-6.52,3.67,2.99,-0.215,0.016,-0.019,3.9,-4.29,1.2,-0.273,0.153,-0.348,50,101,UNKNOWN,1
11788611,-6.52,3.67,2.99,-0.215,0.016,-0.019,3.74,-4.19,1.26,-0.283,0.181,-0.343,50,101,UNKNOWN,1
11788626,-6.52,3.67,2.99,-0.215,0.016,-0.019,3.71,-4.04,1.47,-0.283,0.223,-0.339,50,101,UNKNOWN,1
11788641,-6.52,3.67,2.99,-0.215,0.016,-0.019,3.87,-3.99,1.68,-0.27,0.245,-0.332,50,101,UNKNOWN,1
11788656,-6.59,4.05,2.97,-0.146,0.018,-0.103,3.94,-3.93,1.71,-0.254,0.259,-0.334,50,101,UNKNOWN,1
11788672,-6.59,4.05,2.97,-0.146,0.018,-0.103,3.94,-3.85,1.66,-0.234,0.28,-0.342,50,101,UNKNOWN,1
11788687,-6.59,4.05,2.97,-0.146,0.018,-0.103,3.9,-3.8,1.52,-0.215,0.303,-0.348,50,101,UNKNOWN,1
11788702,-6.59,4.05,2.97,-0.146,0.018,-0.103,3.87,-3.78,1.52,-0.2,0.323,-0.346,50,101,UNKNOWN,1
11788717,-6.59,4.05,2.97,-0.146,0.018,-0.103,3.97,-3.74,1.63,-0.184,0.321,-0.34,50,101,UNKNOWN,1
11788732,-6.59,4.05,2.97,-0.146,0.018,-0.103,4.19,-3.76,1.71,-0.17,0.29,-0.331,50,101,UNKNOWN,1
11788747,-6.59,4.05,2.97,-0.146,0.018,-0.103,4.41,-3.9,1.61,-0.16,0.225,-0.332,50,101,UNKNOWN,1
11788762,-6.59,4.05,2.97,-0.146,0.018,-0.103,4.44,-3.99,1.47,-0.15,0.18,-0.34,50,101,UNKNOWN,1
11788777,-6.89,4.19,2.98,0.016,0.028,-0.072,4.48,-4.08,1.37,-0.15,0.138,-0.35,50,101,UNKNOWN,1
11788792,-6.89,4.19,2.98,0.016,0.028,-0.072,4.39,-4.16,1.34,-0.151,0.121,-0.366,50,101,UNKNOWN,1
11788807,-6.89,4.19,2.98,0.016,0.028,-0.072,4.4,-4.21,1.45,-0.148,0.13,-0.383,50,101,UNKNOWN,1
11788822,-6.89,4.19,2.98,0.016,0.028,-0.072,4.55,-4.29,1.59,-0.141,0.117,-0.404,50,101,UNKNOWN,1
11788852,-6.89,4.19,2.98,0.016,0.028,-0.072,4.45,-4.3,1.52,-0.108,0.153,-0.446,50,101,UNKNOWN,1
11788867,-6.89,4.19,2.98,0.016,0.028,-0.072,4.55,-4.31,1.54,-0.094,0.174,-0.467,50,101,UNKNOWN,1
11788882,-6.89,4.19,2.98,0.016,0.028,-0.072,4.64,-4.38,1.46,-0.087,0.177,-0.486,50,101,UNKNOWN,1
11788897,-6.8,3.77,3.03,-0.103,0.094,-0.022,4.56,-4.39,1.5,-0.081,0.19,-0.501,50,101,UNKNOWN,1
11788913,-6.8,3.77,3.03,-0.103,0.094,-0.022,4.62,-4.39,1.54,-0.078,0.196,-0.517,50,101,UNKNOWN,1
11788928,-6.8,3.77,3.03,-0.103,0.094,-0.022,4.59,-4.3,1.65,-0.07,0.188,-0.527,50,101,UNKNOWN,1
11788973,-6.8,3.77,3.03,-0.103,0.094,-0.022,4.65,-4.3,1.68,-0.047,0.09,-0.551,50,101,UNKNOWN,1
11788988,-6.8,3.77,3.03,-0.103,0.094,-0.022,4.62,-4.4,1.54,-0.048,0.073,-0.552,50,101,UNKNOWN,1
11789003,-6.8,3.77,3.03,-0.103,0.094,-0.022,4.52,-4.41,1.6,-0.052,0.074,-0.547,50,101,UNKNOWN,1
11789018,-6.8,3.71,3.27,-0.168,0.174,-0.021,4.57,-4.42,1.72,-0.052,0.079,-0.541,50,101,UNKNOWN,1
11789033,-6.8,3.71,3.27,-0.168,0.174,-0.021,4.75,-4.47,1.83,-0.045,0.061,-0.539,50,101,UNKNOWN,1
11789063,-6.8,3.71,3.27,-0.168,0.174,-0.021,4.76,-4.53,2.01,-0.038,-0.011,-0.534,50,101,UNKNOWN,1
11789078,-6.8,3.71,3.27,-0.168,0.174,-0.021,4.74,-4.61,2.08,-0.038,-0.075,-0.54,50,101,UNKNOWN,1
11789123,-6.93,3.29,3.04,-0.196,0.194,-0.125,4.65,-4.59,1.85,-0.027,-0.078,-0.539,50,101,UNKNOWN,1
11789138,-6.93,3.29,3.04,-0.196,0.194,-0.125,4.69,-4.54,1.84,-0.031,-0.081,-0.529,50,101,UNKNOWN,1
11789153,-6.93,3.29,3.04,-0.196,0.194,-0.125,4.79,-4.57,1.85,-0.041,-0.098,-0.52,50,101,UNKNOWN,1
11789183,-6.93,3.29,3.04,-0.196,0.194,-0.125,4.82,-4.62,1.92,-0.067,-0.146,-0.467,50,101,UNKNOWN,1
11789198,-6.93,3.29,3.04,-0.196,0.194,-0.125,4.9,-4.69,1.97,-0.07,-0.151,-0.438,50,101,UNKNOWN,1
11789228,-6.93,3.29,3.04,-0.196,0.194,-0.125,4.95,-4.82,1.87,-0.08,-0.123,-0.399,50,101,UNKNOWN,1
11789243,-7.1,3.21,2.68,-0.266,0.2,-0.046,5.09,-4.95,1.74,-0.098,-0.12,-0.396,50,101,UNKNOWN,1
11789288,-7.1,3.21,2.68,-0.266,0.2,-0.046,4.97,-4.84,1.91,-0.174,-0.098,-0.398,50,101,UNKNOWN,1
11789303,-7.1,3.21,2.68,-0.266,0.2,-0.046,4.89,-4.83,2.01,-0.188,-0.08,-0.408,50,101,UNKNOWN,1
