timestamp,L_ax,L_ay,L_az,L_gx,L_gy,L_gz,R_ax,R_ay,R_az,R_gx,R_gy,R_gz,L_punch_cnt,R_punch_cnt,label,activity_label
14831,3.93,-0.28,-0.82,0.295,0.067,0.879,-0.76,5.07,3.49,-2.655,-1.118,-0.652,93,0,UNKNOWN,0
14847,3.93,-0.28,-0.82,0.295,0.067,0.879,-1.87,6.38,4.13,-2.541,-0.793,-0.275,93,0,UNKNOWN,0
14862,3.93,-0.28,-0.82,0.295,0.067,0.879,-1.04,4.95,4.42,-2.8,-0.731,0.042,93,0,UNKNOWN,0
14877,3.93,-0.28,-0.82,0.295,0.067,0.879,-0.86,4.7,5.61,-2.797,-0.616,0.127,93,0,UNKNOWN,0
14892,3.93,-0.28,-0.82,0.295,0.067,0.879,-0.18,5.16,6.5,-2.309,-0.702,-0.038,93,0,UNKNOWN,0
14922,4.78,-1.22,-0.53,0.335,-0.054,0.757,-0.75,8.99,5.65,-1.494,-0.847,0.306,93,0,UNKNOWN,0
14937,4.78,-1.22,-0.53,0.335,-0.054,0.757,-0.62,7.82,4.1,-1.264,-0.734,0.574,93,0,UNKNOWN,0
14952,4.78,-1.22,-0.53,0.335,-0.054,0.757,-0.49,7.95,4.61,-1.068,-0.454,0.617,93,0,UNKNOWN,0
14967,4.78,-1.22,-0.53,0.335,-0.054,0.757,-0.24,8.23,6.41,-0.841,-0.176,0.399,93,0,UNKNOWN,0
14982,4.78,-1.22,-0.53,0.335,-0.054,0.757,-0.01,8.31,7.42,-0.407,0.05,0.139,93,0,UNKNOWN,0
14997,4.78,-1.22,-0.53,0.335,-0.054,0.757,0.19,7.96,7.59,-0.042,0.392,-0.077,93,0,UNKNOWN,0
15012,4.24,-0.59,-0.62,0.301,0.145,0.162,0.25,7.77,6.81,0.206,0.465,-0.319,93,0,UNKNOWN,0
15027,4.24,-0.59,-0.62,0.301,0.145,0.162,-0.09,8.32,5.95,0.196,0.023,-0.637,93,0,UNKNOWN,0
15042,4.24,-0.59,-0.62,0.301,0.145,0.162,-0.28,8.41,3.45,0.083,-0.222,-0.742,93,0,UNKNOWN,1
15057,4.24,-0.59,-0.62,0.301,0.145,0.162,-0.32,8.65,3.59,-0.186,0.081,-0.752,93,0,UNKNOWN,1
15072,4.24,-0.59,-0.62,0.301,0.145,0.162,-0.25,8.88,4.65,-0.127,0.16,-0.665,93,0,UNKNOWN,1
15087,4.24,-0.59,-0.62,0.301,0.145,0.162,0.05,8.28,5.28,-0.107,0.342,-0.583,93,0,UNKNOWN,1
15102,4.24,-0.59,-0.62,0.301,0.145,0.162,-0.1,8.4,5.56,-0.01,0.512,-0.636,93,0,UNKNOWN,1
15117,4.24,-0.59,-0.62,254,0.088,0.271,-0.21,7.99,5.4,0.039,0.703,-0.626,93,0,UNKNOWN,1
15132,3.81,-0.7,-1.6,0.254,0.088,0.271,0.42,7.51,5.89,0.069,0.902,-0.645,93,0,UNKNOWN,1
15147,3.81,-0.7,-1.6,0.254,0.088,0.271,0.73,7.3,6.92,0.308,1.186,-0.862,93,0,UNKNOWN,1
15162,3.81,-0.7,-1.6,0.254,0.088,0.271,1.03,7.03,7.43,0.619,1.345,-1.083,93,0,UNKNOWN,1
15177,3.81,-0.7,-1.6,0.254,0.088,0.271,0.81,7.53,5.77,0.714,1.239,-1.154,93,0,UNKNOWN,1
15192,3.81,-0.7,-1.6,0.254,0.088,0.271,0.89,8.22,5.36,0.602,1.288,-0.977,93,0,UNKNOWN,1
15207,3.81,-0.7,-1.6,0.254,0.088,0.271,0.72,8.28,4.88,0.522,1.261,-0.91,93,0,UNKNOWN,0
15222,3.81,-0.7,-1.6,0.254,0.088,0.271,0.7,8.64,4.52,0.627,1.418,-1.039,93,0,UNKNOWN,0
15251,4.23,-0.6,-0.38,0.321,0.078,0.441,1.49,9.38,6.61,0.781,1.659,-0.75,93,0,UNKNOWN,0
15266,4.23,-0.6,-0.38,0.321,0.078,0.441,1.47,8.66,6.23,1.049,1.46,-0.831,93,0,UNKNOWN,0
15281,4.23,-0.6,-0.38,0.321,0.078,0.441,1.21,8.54,6.3,1.101,1.45,-1.184,93,0,UNKNOWN,0
15296,4.23,-0.6,-0.38,0.321,0.078,0.441,0.38,8.37,4.08,0.954,1.361,-1.427,93,0,UNKNOWN,0
15311,4.23,-0.6,-0.38,0.321,0.078,0.441,0.5,8.12,2.97,0.619,1.435,-1.466,93,0,UNKNOWN,0
15326,4.23,-0.6,-0.38,0.321,0.078,0.441,0.1,8.21,2.42,0.318,1.502,-1.365,93,0,UNKNOWN,0
15341,4.23,-0.6,-0.38,0.321,0.078,0.441,-0.23,8.15,1.95,0.436,1.581,-1.331,93,0,UNKNOWN,0
15356,4.23,-0.6,-0.38,0.321,0.078,0.441,-0.23,8.1,1.84,1.199,2.11,-1.744,93,0,UNKNOWN,0
15371,4.13,-0.53,-0.93,0.494,-0.348,0.163,0.05,8.51,2.18,2.266,2.871,-2.476,93,0,UNKNOWN,0
15386,4.13,-0.53,-0.93,0.494,-0.348,0.163,-0.24,7.99,0,3.404,3.973,-2.88,93,0,UNKNOWN,0
15401,4.13,-0.53,-0.93,0.494,-0.348,0.163,-0.23,6.91,0.01,3.979,4.461,-3.113,93,0,UNKNOWN,0
15416,4.13,-0.53,-0.93,0.494,-0.348,0.163,-0.27,6.4,0.94,4.06,4.461,-3.362,93,0,UNKNOWN,0
15431,4.13,-0.53,-0.93,0.494,-0.348,0.163,-0.33,5.08,-0.56,3.891,4.461,-3.434,93,0,UNKNOWN,0
15446,4.13,-0.53,-0.93,0.494,-0.348,0.163,0.21,4.81,-0.87,3.566,4.266,-3.426,93,0,UNKNOWN,0
15461,4.13,-0.53,-0.93,0.494,-0.348,0.163,0.46,4.41,-1.52,3.497,4.122,-3.387,93,0,UNKNOWN,0
15476,4.13,-0.53,-0.93,0.494,-0.348,0.163,0.66,3.96,-1.42,3.434,4.373,-3.243,93,0,UNKNOWN,0
15491,4.02,-0.78,-1.17,0.263,-0.19,0.159,1.36,2.35,-0.43,3.218,4.44,-3.1,93,0,UNKNOWN,0
15506,4.02,-0.78,-1.17,0.263,-0.19,0.159,1.97,2.62,1.25,3.041,4.109,-2.952,93,0,UNKNOWN,0
15521,4.02,-0.78,-1.17,0.263,-0.19,0.159,2.91,1.17,-0.08,2.918,3.482,-2.731,93,0,UNKNOWN,0
15536,4.02,-0.78,-1.17,0.263,-0.19,0.159,2.81,0.67,-1.69,2.33,2.877,-2.506,93,0,UNKNOWN,0
15551,4.02,-0.78,-1.17,0.263,-0.19,0.159,3.01,-0.01,-2.13,1.158,2.073,-2.166,93,0,UNKNOWN,0
15566,4.02,-0.78,-1.17,0.263,-0.19,0.159,4.01,0.11,-2.32,0.452,0.933,-1.793,93,0,UNKNOWN,0
15581,3.51,-0.42,-1.69,0.314,-0.404,0.136,4.24,-0.71,-4.14,-0.2,0.749,-1.91,93,0,UNKNOWN,0
15596,3.51,-0.42,-1.69,0.314,-0.404,0.136,4.41,0.45,-4.41,-0.509,0.944,-1.549,93,0,UNKNOWN,0
15611,3.51,-0.42,-1.69,0.314,-0.404,0.136,4.36,-0.08,-4.42,-0.838,1.365,-1.036,93,0,UNKNOWN,0
15626,3.51,-0.42,-1.69,0.314,-0.404,0.136,4.32,0.44,-1.18,-0.903,1.384,-0.694,93,0,UNKNOWN,0
15641,3.51,-0.42,-1.69,0.314,-0.404,0.136,4.95,0.76,-0.3,-0.626,0.88,-0.309,93,0,UNKNOWN,0
15656,3.51,-0.42,-1.69,0.314,-0.404,0.136,5.05,0.85,-0.59,-0.268,0.363,-0.267,93,0,UNKNOWN,0
15671,3.51,-0.42,-1.69,0.314,-0.404,0.136,4.81,1.23,-1.11,0.091,0.357,-0.294,93,0,UNKNOWN,0
15686,3.51,-0.42,-1.69,0.314,-0.404,0.136,4.49,1.02,-0.83,0.439,0.442,-0.211,93,0,UNKNOWN,0
15702,4.86,-1.11,0.78,0.007,-0.22,0.851,4.65,0.48,-0.66,0.665,0.406,-0.145,93,0,UNKNOWN,0
15717,4.86,-1.11,0.78,0.007,-0.22,0.851,4.65,0.41,-0.51,0.735,0.298,-0.092,93,0,UNKNOWN,0
15732,4.86,-1.11,0.78,0.007,-0.22,0.851,4.94,0.17,-0.41,0.524,0.25,-0.031,93,0,UNKNOWN,0
15747,4.86,-1.11,0.78,0.007,-0.22,0.851,5.05,0.47,0.02,0.391,-0.062,0.047,93,0,UNKNOWN,0
15763,4.86,-1.11,0.78,0.007,-0.22,0.851,5,0.02,-0.88,-0.014,-0.331,0.057,93,0,UNKNOWN,0
15778,4.86,-1.11,0.78,0.007,-0.22,0.851,4.97,0.11,-0.98,-0.576,-0.551,0.049,93,0,UNKNOWN,0
15793,4.86,-1.11,0.78,0.007,-0.22,0.851,4.93,0.35,-0.82,-1.151,-0.891,0.125,93,0,UNKNOWN,0
15808,4.13,-0.62,-0.96,0.355,-0.077,0.209,5.13,0.39,-0.59,-1.592,-1.267,0.282,93,0,UNKNOWN,0
15824,4.13,-0.62,-0.96,0.355,-0.077,0.209,5.05,0.58,-1.49,-1.934,-1.705,0.584,93,0,UNKNOWN,0
15839,4.13,-0.62,-0.96,0.355,-0.077,0.209,4.78,0.79,-2.45,-2.116,-1.746,0.9,93,0,UNKNOWN,0
