timestamp,L_ax,L_ay,L_az,L_gx,L_gy,L_gz,R_ax,R_ay,R_az,R_gx,R_gy,R_gz,L_punch_cnt,R_punch_cnt,label,activity_label
66892,-0.01,-0.04,-0.02,0,-0.001,0.001,2.74,2.51,19.06,0.359,-0.02,-0.068,0,0,UNKNOWN,0
66907,-0.01,-0.04,-0.02,0,-0.001,0.001,2.7,2.53,19.03,0.357,-0.016,-0.066,0,0,UNKNOWN,0
66922,-0.01,-0.04,-0.02,0,-0.001,0.001,2.73,2.55,19.07,0.358,-0.017,-0.066,0,0,UNKNOWN,0
66937,-0.01,-0.03,-0.03,-0.002,0,0.001,2.76,2.53,19.07,0.359,-0.02,-0.067,0,0,UNKNOWN,0
66952,-0.01,-0.03,-0.03,-0.002,0,0.001,2.75,2.53,19.06,0.359,-0.015,-0.07,0,0,UNKNOWN,0
66967,-0.01,-0.03,-0.03,-0.002,0,0.001,2.73,2.52,19.08,0.358,-0.019,-0.068,0,0,UNKNOWN,0
66982,-0.01,-0.03,-0.03,-0.002,0,0.001,2.73,2.5,19.06,0.36,-0.017,-0.067,0,0,UNKNOWN,0
66997,-0.01,-0.03,-0.03,-0.002,0,0.001,2.73,2.54,19.02,0.359,-0.013,-0.067,0,0,UNKNOWN,0
67012,-0.01,-0.03,-0.03,-0.002,0,0.001,2.71,2.53,19.05,0.357,-0.019,-0.068,0,0,UNKNOWN,0
67027,-0.01,-0.03,-0.03,-0.002,0,0.001,2.73,2.54,19.04,0.359,-0.021,-0.068,0,0,UNKNOWN,0
67042,-0.01,-0.03,-0.03,-0.002,0,0.001,2.76,2.54,19.08,0.358,-0.015,-0.066,0,0,UNKNOWN,0
67057,-0.02,-0.04,0.02,-0.007,0.001,0.001,2.75,2.51,19.11,0.358,-0.017,-0.067,0,0,UNKNOWN,0
67072,-0.02,-0.04,0.02,-0.007,0.001,0.001,2.73,2.52,19.04,0.358,-0.025,-0.065,0,0,UNKNOWN,0
67102,-0.02,-0.04,0.02,-0.007,0.001,0.001,2.74,2.55,19.1,0.36,-0.017,-0.067,0,0,UNKNOWN,0
67117,-0.02,-0.04,0.02,-0.007,0.001,0.001,2.74,2.54,19.08,0.357,-0.023,-0.067,0,0,UNKNOWN,0
67132,-0.02,-0.04,0.02,-0.007,0.001,0.001,2.71,2.5,19.07,0.358,-0.017,-0.067,0,0,UNKNOWN,0
67147,-0.02,-0.04,0.02,-0.007,0.001,0.001,2.75,2.54,19.09,0.359,-0.013,-0.067,0,0,UNKNOWN,0
67162,-0.02,-0.04,0.02,-0.007,0.001,0.001,2.73,2.55,19.09,0.358,-0.021,-0.068,0,0,UNKNOWN,0
67177,-0.02,-0.07,0.02,-0.002,-0.002,0.002,2.74,2.52,19.07,0.358,-0.017,-0.069,0,0,UNKNOWN,0
67192,-0.02,-0.07,0.02,-0.002,-0.002,0.002,2.74,2.55,19.05,0.359,-0.013,-0.068,0,0,UNKNOWN,0
67207,-0.02,-0.07,0.02,-0.002,-0.002,0.002,2.75,2.54,19.07,0.357,-0.018,-0.066,0,0,UNKNOWN,0
67222,-0.02,-0.07,0.02,-0.002,-0.002,0.002,2.72,2.53,19.05,0.358,-0.021,-0.066,0,0,UNKNOWN,0
67237,-0.02,-0.07,0.02,-0.002,-0.002,0.002,2.75,2.53,19.06,0.359,-0.017,-0.069,0,0,UNKNOWN,0
