timestamp,L_ax,L_ay,L_az,L_gx,L_gy,L_gz,R_ax,R_ay,R_az,R_gx,R_gy,R_gz,L_punch_cnt,R_punch_cnt,label,activity_label
43421,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-1.93,3.66,-4.66,0.485,-0.232,0.537,73,3,UNKNOWN,1
43437,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.61,3.73,-4.55,0.565,-0.125,0.573,73,3,UNKNOWN,1
43452,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.88,3.56,-4.31,0.653,0.069,0.59,73,3,UNKNOWN,1
43467,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.19,3.26,-4.21,0.729,0.219,0.637,73,3,UNKNOWN,1
43482,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-1.7,2.86,-4.45,0.777,0.272,0.632,73,3,UNKNOWN,1
43497,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-1.84,2.79,-4.76,0.774,0.305,0.641,73,3,UNKNOWN,1
43512,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-1.69,2.76,-4.85,0.8,0.279,0.669,73,3,UNKNOWN,1
43527,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-1.98,2.55,-4.96,0.809,0.245,0.663,73,3,UNKNOWN,1
43542,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.41,2.64,-4.9,0.821,0.348,0.649,73,3,UNKNOWN,1
43557,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.49,2.64,-4.47,0.857,0.504,0.631,73,3,UNKNOWN,1
43572,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.42,2.89,-3.87,0.895,0.696,0.64,73,3,UNKNOWN,1
43587,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.14,3.02,-3.25,0.938,0.742,0.67,73,3,UNKNOWN,1
43602,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.47,3.32,-2.82,0.998,0.758,0.712,74,3,UNKNOWN,1
43618,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.52,3.56,-2.06,1.075,0.657,0.821,74,3,UNKNOWN,1
43633,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.93,3.93,-1.51,1.197,0.565,0.921,74,3,UNKNOWN,1
43649,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.83,3.98,-0.89,1.368,0.334,1.085,74,3,UNKNOWN,1
43664,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-3.29,3.8,-0.64,1.54,0.077,1.232,74,3,UNKNOWN,1
43679,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-3.65,3.51,-0.4,1.741,-0.078,1.398,74,3,UNKNOWN,1
43694,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-3.66,2.97,-0.32,1.968,-0.214,1.566,74,3,UNKNOWN,1
43709,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-3.35,1.76,-1.22,2.221,-0.395,1.734,74,3,UNKNOWN,1
43724,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-3.73,0.28,-1.86,2.408,-0.489,1.841,74,3,UNKNOWN,1
43739,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-4.41,-0.45,-1.93,2.538,-0.451,1.971,74,3,UNKNOWN,1
43754,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-4.79,-1.07,-1.5,2.711,-0.339,2.078,74,3,UNKNOWN,1
43769,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-5.21,-1.82,-0.67,2.866,-0.149,2.155,74,3,UNKNOWN,1
43784,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-5.53,-2.69,-0.11,2.987,0.095,2.181,74,3,UNKNOWN,1
43799,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-5.69,-3.53,0.36,3.038,0.321,2.231,74,3,UNKNOWN,1
43814,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-5.62,-4.35,0.28,3.074,0.587,2.243,74,3,UNKNOWN,1
43829,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-5.46,-5.31,-0.07,3.083,0.884,2.215,74,3,UNKNOWN,1
43844,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-5.21,-6.17,-0.42,3.033,1.127,2.178,74,3,UNKNOWN,1
