timestamp,L_ax,L_ay,L_az,L_gx,L_gy,L_gz,R_ax,R_ay,R_az,R_gx,R_gy,R_gz,L_punch_cnt,R_punch_cnt,label,activity_label
57465,-1.26,-2.33,-2.01,-0.115,0.112,-0.01,1.41,0.64,-0.14,-0.201,0.006,-0.368,0,0,UNKNOWN,0
57481,-1.26,-2.33,-2.01,-0.115,0.112,-0.01,1.55,0.58,0.06,-0.188,0.013,-0.372,0,0,UNKNOWN,0
57496,-1.26,-2.33,-2.01,-0.115,0.112,-0.01,1.47,0.55,-0.07,-0.206,-0.012,-0.373,0,0,UNKNOWN,0
57511,-1.26,-2.33,-2.01,-0.115,0.112,-0.01,1.45,0.63,-0.04,-0.195,0.012,-0.372,0,0,UNKNOWN,0
57526,-1.26,-2.33,-2.01,-0.115,0.112,-0.01,1.54,0.54,-0.05,-0.194,0.002,-0.371,0,0,UNKNOWN,0
57541,-1.26,-2.33,-2.01,-0.115,0.112,-0.01,1.45,0.59,-0.09,-0.203,0.001,-0.369,0,0,UNKNOWN,0
57556,-1.26,-2.33,-2.01,-0.115,0.112,-0.01,1.5,0.56,0.01,-0.191,0.01,-0.371,0,0,UNKNOWN,0
57571,-1.28,-2.36,-1.97,-0.107,0.113,-0.011,1.48,0.58,-0.08,-0.201,-0.004,-0.376,0,0,UNKNOWN,0
57586,-1.28,-2.36,-1.97,-0.107,0.113,-0.011,1.48,0.59,-0.12,-0.195,0.012,-0.369,0,0,UNKNOWN,0
57601,-1.28,-2.36,-1.97,-0.107,0.113,-0.011,1.49,0.57,-0.03,-0.196,0.003,-0.371,0,0,UNKNOWN,0
57616,-1.28,-2.36,-1.97,-0.107,0.113,-0.011,1.44,0.58,-0.1,-0.2,-0.002,-0.371,0,0,UNKNOWN,0
57631,-1.28,-2.36,-1.97,-0.107,0.113,-0.011,1.49,0.57,-0.05,-0.194,0.012,-0.37,0,0,UNKNOWN,0
57646,-1.28,-2.36,-1.97,-0.107,0.113,-0.011,1.5,0.54,-0.03,-0.198,-0.005,-0.374,0,0,UNKNOWN,0
57661,-1.28,-2.36,-1.97,-0.107,0.113,-0.011,1.45,0.56,-0.07,-0.198,0.006,-0.372,0,0,UNKNOWN,0
57706,-1.27,-2.37,-1.94,-0.108,0.109,-0.011,1.47,0.6,-0.06,-0.196,0.007,-0.373,0,0,UNKNOWN,0
57721,-1.27,-2.37,-1.94,-0.108,0.109,-0.011,1.49,0.54,-0.01,-0.196,0.006,-0.373,0,0,UNKNOWN,0
57736,-1.27,-2.37,-1.94,-0.108,0.109,-0.011,1.51,0.57,-0.07,-0.197,0.001,-0.374,0,0,UNKNOWN,0
57826,-1.29,-2.37,-1.94,-0.108,0.109,-0.01,1.49,0.61,-0.02,-0.195,0.004,-0.371,0,0,UNKNOWN,0
57841,-1.29,-2.37,-1.94,-0.108,0.109,-0.01,1.52,0.58,-0.05,-0.199,0.002,-0.37,0,0,UNKNOWN,0
57856,-1.29,-2.37,-1.94,-0.108,0.109,-0.01,1.49,0.56,-0.05,-0.198,0.005,-0.371,0,0,UNKNOWN,0
57871,-1.29,-2.37,-1.94,-0.108,0.109,-0.01,1.46,0.57,0.01,-0.196,0.007,-0.372,0,0,UNKNOWN,0
57886,-1.29,-2.37,-1.94,-0.108,0.109,-0.01,1.52,0.59,-0.06,-0.195,0.001,-0.371,0,0,UNKNOWN,0
57901,-1.27,-2.34,-1.93,-0.11,0.109,-0.01,1.5,0.58,-0.1,-0.199,0.003,-0.37,0,0,UNKNOWN,0
57916,-1.27,-2.34,-1.93,-0.11,0.109,-0.01,1.54,0.58,-0.05,-0.194,0.009,-0.37,0,0,UNKNOWN,0
57931,-1.27,-2.34,-1.93,-0.11,0.109,-0.01,1.5,0.58,-0.02,-0.199,0.001,-0.372,0,0,UNKNOWN,0
57946,-1.27,-2.34,-1.93,-0.11,0.109,-0.01,1.47,0.59,-0.11,-0.197,0.004,-0.373,0,0,UNKNOWN,0
57961,-1.27,-2.34,-1.93,-0.11,0.109,-0.01,1.48,0.57,-0.1,-0.198,0.004,-0.372,0,0,UNKNOWN,0
57976,-1.27,-2.34,-1.93,-0.11,0.109,-0.01,1.51,0.6,-0.04,-0.198,0.005,-0.37,0,0,UNKNOWN,0
57991,-1.27,-2.34,-1.93,-0.11,0.109,-0.01,1.49,0.55,-0.01,-0.195,0.004,-0.37,0,0,UNKNOWN,0
