timestamp,L_ax,L_ay,L_az,L_gx,L_gy,L_gz,R_ax,R_ay,R_az,R_gx,R_gy,R_gz,L_punch_cnt,R_punch_cnt,label
17195,0.01,0.01,-0.02,0.003,-0.001,0,0.04,0,-0.01,0.002,0.003,-0.002,0,0,UNKNOWN
17211,0.02,-0.01,-0.03,-0.003,0,0,0.01,0,0.01,0,0.001,0,0,0,UNKNOWN
17226,0.02,-0.01,-0.03,-0.003,0,0,-0.04,-0.01,-0.04,0.001,0.003,0,0,0,UNKNOWN
17241,0.02,-0.01,-0.03,-0.003,0,0,0.01,0,-0.01,0.002,0.001,-0.001,0,0,UNKNOWN
17256,0.02,-0.01,-0.03,-0.003,0,0,0,0,-0.01,0.001,0.002,-0.002,0,0,UNKNOWN
17271,0.02,-0.01,-0.03,-0.003,0,0,-0.04,-0.02,-0.02,0.002,0.001,-0.003,0,0,UNKNOWN
17286,0.02,-0.01,-0.03,-0.003,0,0,0.06,0.02,-0.01,0,0.002,-0.002,0,0,UNKNOWN
17301,0.02,-0.01,-0.03,-0.003,0,0,-0.02,-0.03,0.02,0.003,0.002,0.001,0,0,UNKNOWN
17316,0.02,-0.01,-0.03,-0.003,0,0,-0.02,0.02,0,0.002,0.002,0,0,0,UNKNOWN
17331,-0.03,-0.03,-0.01,-0.002,0,0,0,0,-0.01,0.001,0,-0.001,0,0,UNKNOWN
17346,-0.03,-0.03,-0.01,-0.002,0,0,-0.01,0,-0.01,0.003,0.005,-0.003,0,0,UNKNOWN
17361,-0.03,-0.03,-0.01,-0.002,0,0,-0.02,0,0.01,0.001,-0.001,-0.002,0,0,UNKNOWN
17376,-0.03,-0.03,-0.01,-0.002,0,0,0.03,0,0.02,0.003,0.004,-0.002,0,0,UNKNOWN
17391,-0.03,-0.03,-0.01,-0.002,0,0,0.02,-0.01,0,0,0.002,0.001,0,0,UNKNOWN
17406,-0.03,-0.03,-0.01,-0.002,0,0,-0.02,-0.01,0,0.003,0,-0.001,0,0,UNKNOWN
17421,-0.03,-0.03,-0.01,-0.002,0,0,0.04,0,0.01,0.002,0.003,-0.002,0,0,UNKNOWN
17436,0.02,-0.01,0.04,0.003,-0.002,0.001,-0.01,-0.04,-0.01,0.001,0.003,-0.002,0,0,UNKNOWN
17451,0.02,-0.01,0.04,0.003,-0.002,0.001,-0.02,-0.01,0,0.003,-0.002,-0.001,0,0,UNKNOWN
17466,0.02,-0.01,0.04,0.003,-0.002,0.001,-0.02,0.02,0,0.001,0.003,0.002,0,0,UNKNOWN
17481,0.02,-0.01,0.04,0.003,-0.002,0.001,-0.02,0,-0.02,0.003,0.003,0.001,0,0,UNKNOWN
17496,0.02,-0.01,0.04,0.003,-0.002,0.001,0,-0.01,0.02,0.003,0,-0.004,0,0,UNKNOWN
17511,0.02,-0.01,0.04,0.003,-0.002,0.001,-0.02,0.02,0.03,0.002,0.003,-0.002,0,0,UNKNOWN
17526,0.02,-0.01,0.04,0.003,-0.002,0.001,-0.02,-0.03,-0.05,0.002,-0.002,-0.002,0,0,UNKNOWN
17541,0.02,-0.01,0.04,0.003,-0.002,0.001,0.03,0,0.01,0.003,0.003,-0.001,0,0,UNKNOWN
17556,0.02,-0.01,0.04,0.003,-0.002,0.001,0,-0.01,0.06,0.005,0.003,0.001,0,0,UNKNOWN
17571,0.01,-0.01,0.01,0.011,-0.003,0.001,0.02,-0.01,-0.02,0.001,0.001,0,0,0,UNKNOWN
17586,0.01,-0.01,0.01,0.011,-0.003,0.001,0,0,-0.05,0.002,0.003,-0.002,0,0,UNKNOWN
17601,0.01,-0.01,0.01,0.011,-0.003,0.001,0.02,0,0.09,0.004,0.002,-0.002,0,0,UNKNOWN
17616,0.01,-0.01,0.01,0.011,-0.003,0.001,0,0.01,0.01,0.003,0.005,-0.001,0,0,UNKNOWN
17631,0.01,-0.01,0.01,0.011,-0.003,0.001,-0.03,-0.01,-0.09,-0.003,0.001,0.001,0,0,UNKNOWN
17646,0.01,-0.01,0.01,0.011,-0.003,0.001,0.02,0,0.09,0.003,-0.002,-0.001,0,0,UNKNOWN
17661,0.01,-0.01,0.01,0.011,-0.003,0.001,0.01,-0.02,0.05,0.004,0.007,-0.001,0,0,UNKNOWN
17676,-0.01,-0.05,-0.09,-0.003,-0.001,0.001,-0.03,-0.02,0,-0.003,0,-0.001,0,0,UNKNOWN
17691,-0.01,-0.05,-0.09,-0.003,-0.001,0.001,0,-0.04,0.01,0,-0.001,-0.001,0,0,UNKNOWN
17706,-0.01,-0.05,-0.09,-0.003,-0.001,0.001,0,0.02,0.04,0.004,0.005,-0.001,0,0,UNKNOWN
17721,-0.01,-0.05,-0.09,-0.003,-0.001,0.001,-0.03,0,-0.01,0.003,0.002,0,0,0,UNKNOWN
17736,-0.01,-0.05,-0.09,-0.003,-0.001,0.001,0,-0.02,0,-0.001,0,0,0,0,UNKNOWN
17751,-0.01,-0.05,-0.09,-0.003,-0.001,0.001,-0.01,-0.01,-0.01,0.002,0.002,-0.004,0,0,UNKNOWN
17766,-0.01,-0.05,-0.09,-0.003,-0.001,0.001,-0.01,-0.02,-0.02,0.003,0.002,-0.003,0,0,UNKNOWN
17781,-0.01,-0.05,-0.09,-0.003,-0.001,0.001,0.02,-0.01,0,0.001,0.001,-0.001,0,0,UNKNOWN
17796,0,0,0.02,-0.01,0.001,-0.001,0.03,0,0.03,0.001,0.001,0,0,0,UNKNOWN
17811,0,0,0.02,-0.01,0.001,-0.001,0,-0.02,-0.06,0.001,0.002,-0.002,0,0,UNKNOWN
17826,0,0,0.02,-0.01,0.001,-0.001,0.03,-0.01,-0.03,0.002,0,-0.002,0,0,UNKNOWN
17841,0,0,0.02,-0.01,0.001,-0.001,0,0,0.04,0,0.002,-0.003,0,0,UNKNOWN
17856,0,0,0.02,-0.01,0.001,-0.001,-0.01,0.01,-0.03,0.002,0.003,-0.002,0,0,UNKNOWN
17871,0,0,0.02,-0.01,0.001,-0.001,-0.02,0.02,-0.03,0.001,0.003,-0.001,0,0,UNKNOWN
17886,0,0,0.02,-0.01,0.001,-0.001,-0.01,0.01,-0.01,0.001,0.001,0.001,0,0,UNKNOWN
17901,0.01,-0.04,-0.06,0.01,-0.002,0.002,0.03,0.01,0.06,0.005,0.004,0.001,0,0,UNKNOWN
17916,0.01,-0.04,-0.06,0.01,-0.002,0.002,0,-0.01,-0.07,0.001,0.001,-0.002,0,0,UNKNOWN
17931,0.01,-0.04,-0.06,0.01,-0.002,0.002,0.02,0,0.02,0,-0.001,-0.002,0,0,UNKNOWN
17946,0.01,-0.04,-0.06,0.01,-0.002,0.002,0.01,0,0.05,0.005,0.003,-0.003,0,0,UNKNOWN
17961,0.01,-0.04,-0.06,0.01,-0.002,0.002,0.02,-0.04,-0.03,0.002,0.001,-0.001,0,0,UNKNOWN
17976,0.01,-0.04,-0.06,0.01,-0.002,0.002,-0.01,0,-0.01,-0.001,-0.001,0.001,0,0,UNKNOWN
17991,0.01,-0.04,-0.06,0.01,-0.002,0.002,-0.02,-0.02,-0.01,0.003,0.001,-0.002,0,0,UNKNOWN
18006,-0.02,0,-0.04,0,-0.001,0.001,-0.02,0,0,0.004,0.006,-0.003,0,0,UNKNOWN
18021,-0.02,0,-0.04,0,-0.001,0.001,0.01,-0.03,0,-0.002,-0.003,-0.002,0,0,UNKNOWN
18036,-0.02,0,-0.04,0,-0.001,0.001,0.02,0.02,0.02,0.001,0.004,0,0,0,UNKNOWN
18051,-0.02,0,-0.04,0,-0.001,0.001,-0.01,-0.01,-0.01,0.004,0.001,0.001,0,0,UNKNOWN
18066,-0.02,0,-0.04,0,-0.001,0.001,0.03,-0.01,0.04,0.001,0.001,0,0,0,UNKNOWN
18081,-0.02,0,-0.04,0,-0.001,0.001,0,-0.02,0.01,0,0.001,-0.002,0,0,UNKNOWN
18096,-0.02,0,-0.04,0,-0.001,0.001,-0.02,0,-0.01,0.002,0.002,-0.004,0,0,UNKNOWN
18111,-0.02,0,-0.04,0,-0.001,0.001,0,-0.01,0.01,0.003,0.002,-0.001,0,0,UNKNOWN
18126,0.02,0.03,0.09,0,0,0,0.03,-0.01,-0.03,-0.001,0.002,0.001,0,0,UNKNOWN
18141,0.02,0.03,0.09,0,0,0,-0.02,-0.02,0.01,0.004,0.003,0,0,0,UNKNOWN
18156,0.02,0.03,0.09,0,0,0,-0.01,-0.04,0.02,0.002,0.004,-0.001,0,0,UNKNOWN
18171,0.02,0.03,0.09,0,0,0,-0.02,0.02,-0.04,0.001,0.001,-0.003,0,0,UNKNOWN
18186,0.02,0.03,0.09,0,0,0,-0.01,-0.03,0.05,0.003,0.003,-0.002,0,0,UNKNOWN
18201,0.02,0.03,0.09,0,0,0,-0.01,0.02,0,0.003,0.002,0,0,0,UNKNOWN
18216,0.02,0.03,0.09,0,0,0,-0.04,0,-0.19,0.002,0.004,0,0,0,UNKNOWN
18231,0,-0.01,0.01,-0.001,-0.001,0,-0.02,0,0.17,0.008,0.016,-0.006,0,0,UNKNOWN
18246,0,-0.01,0.01,-0.001,-0.001,0,0.08,-0.02,0.16,0.002,-0.001,0,0,0,UNKNOWN
18261,0,-0.01,0.01,-0.001,-0.001,0,-0.07,0.02,-0.26,-0.009,0.009,0.001,0,0,UNKNOWN
18276,0,-0.01,0.01,-0.001,-0.001,0,-0.02,-0.01,0.19,0.008,-0.003,-0.002,0,0,UNKNOWN
18291,0,-0.01,0.01,-0.001,-0.001,0,0.11,-0.02,0.13,0.014,0.017,0.001,0,0,UNKNOWN
18306,0,-0.01,0.01,-0.001,-0.001,0,-0.16,0,-0.2,-0.009,-0.003,0.004,0,0,UNKNOWN
18321,0,-0.01,0.01,-0.001,-0.001,0,0.09,-0.01,0.08,0.002,-0.006,-0.001,0,0,UNKNOWN
18336,0,-0.01,0.01,-0.001,-0.001,0,-0.06,-0.03,-0.03,0.011,0.019,-0.001,0,0,UNKNOWN
18351,0.02,-0.28,-0.21,-0.018,0.005,-0.004,-0.04,0,0,-0.001,-0.008,0,0,0,UNKNOWN
18366,0.02,-0.28,-0.21,-0.018,0.005,-0.004,0.12,0,0.02,-0.002,0.005,0.001,0,0,UNKNOWN
18381,0.02,-0.28,-0.21,-0.018,0.005,-0.004,-0.08,-0.04,-0.03,0.005,0.006,-0.001,0,0,UNKNOWN
18396,0.02,-0.28,-0.21,-0.018,0.005,-0.004,0.05,0,0.01,0.004,0,-0.002,0,0,UNKNOWN
