timestamp,L_ax,L_ay,L_az,L_gx,L_gy,L_gz,R_ax,R_ay,R_az,R_gx,R_gy,R_gz,L_punch_cnt,R_punch_cnt,label
1170509,-1.71,-4.26,17.26,-0.015,0.115,-0.197,-6.3,-1.92,0.68,-0.031,-0.087,-0.016,10,40,UNKNOWN
1170525,-1.71,-4.26,17.26,-0.015,0.115,-0.197,-6.29,-1.94,0.69,-0.03,-0.09,-0.016,10,40,UNKNOWN
1170540,-1.71,-4.26,17.26,-0.015,0.115,-0.197,-6.29,-1.92,0.66,-0.032,-0.089,-0.014,10,40,UNKNOWN
1170555,-1.71,-4.26,17.26,-0.015,0.115,-0.197,-6.29,-1.94,0.64,-0.031,-0.088,-0.013,10,40,UNKNOWN
1170570,-1.72,-4.24,17.25,-0.016,0.116,-0.198,-6.3,-1.9,0.69,-0.029,-0.089,-0.015,10,40,UNKNOWN
1170585,-1.72,-4.24,17.25,-0.016,0.116,-0.198,-6.3,-1.93,0.69,-0.03,-0.09,-0.017,10,40,UNKNOWN
1170600,-1.72,-4.24,17.25,-0.016,0.116,-0.198,-6.29,-1.94,0.63,-0.03,-0.087,-0.015,10,40,UNKNOWN
1170615,-1.72,-4.24,17.25,-0.016,0.116,-0.198,-6.27,-1.93,0.65,-0.032,-0.091,-0.014,10,40,UNKNOWN
1170645,-1.72,-4.24,17.25,-0.016,0.116,-0.198,-6.3,-1.94,0.66,-0.029,-0.089,-0.013,10,40,UNKNOWN
1170675,-1.72,-4.24,17.25,-0.016,0.116,-0.198,-6.33,-1.94,0.67,-0.03,-0.094,-0.015,10,40,UNKNOWN
1170705,-1.71,-4.26,17.26,-0.015,0.12,-0.197,-6.32,-1.92,0.63,-0.032,-0.088,-0.013,10,40,UNKNOWN
1170720,-1.71,-4.26,17.26,-0.015,0.12,-0.197,-6.28,-1.92,0.66,-0.031,-0.09,-0.013,10,40,UNKNOWN
1170750,-1.71,-4.26,17.26,-0.015,0.12,-0.197,-6.32,-1.93,0.69,-0.031,-0.087,-0.014,10,40,UNKNOWN
1170780,-1.71,-4.26,17.26,-0.015,0.12,-0.197,-6.29,-1.94,0.67,-0.03,-0.092,-0.013,10,40,UNKNOWN
1170795,-1.68,-4.26,17.3,-0.013,0.118,-0.199,-6.27,-1.95,0.66,-0.03,-0.089,-0.011,10,40,UNKNOWN
1170855,-1.68,-4.26,17.3,-0.013,0.118,-0.199,-6.29,-1.92,0.68,-0.032,-0.087,-0.013,10,40,UNKNOWN
1170885,-1.68,-4.26,17.3,-0.013,0.118,-0.199,-6.29,-1.95,0.68,-0.032,-0.09,-0.015,10,40,UNKNOWN
1170930,-1.71,-4.26,17.25,-0.016,0.118,-0.199,-6.3,-1.95,0.73,-0.031,-0.091,-0.015,10,40,UNKNOWN
1170945,-1.71,-4.26,17.25,-0.016,0.118,-0.199,-6.31,-1.94,0.63,-0.031,-0.088,-0.012,10,40,UNKNOWN
1170975,-1.71,-4.26,17.25,-0.016,0.118,-0.199,-6.3,-1.92,0.65,-0.03,-0.089,-0.016,10,40,UNKNOWN
1171005,-1.71,-4.26,17.25,-0.016,0.118,-0.199,-6.29,-1.92,0.69,-0.03,-0.089,-0.014,10,40,UNKNOWN
1171050,-1.69,-4.25,17.3,-0.013,0.118,-0.197,-6.31,-1.91,0.64,-0.029,-0.09,-0.014,10,40,UNKNOWN
1171080,-1.69,-4.25,17.3,-0.013,0.118,-0.197,-6.29,-1.96,0.68,-0.032,-0.09,-0.014,10,40,UNKNOWN
1171095,-1.69,-4.25,17.3,-0.013,0.118,-0.197,-6.32,-1.92,0.7,-0.03,-0.088,-0.013,10,40,UNKNOWN
1171125,-1.69,-4.25,17.3,-0.013,0.118,-0.197,-6.26,-1.96,0.68,-0.031,-0.091,-0.014,10,40,UNKNOWN
1171140,-1.71,-4.27,17.28,-0.016,0.118,-0.197,-6.3,-1.92,0.69,-0.03,-0.087,-0.014,10,40,UNKNOWN
1171185,-1.71,-4.27,17.28,-0.016,0.118,-0.197,-6.29,-1.92,0.63,-0.031,-0.09,-0.013,10,40,UNKNOWN
1171200,-1.71,-4.27,17.28,-0.016,0.118,-0.197,-6.29,-1.93,0.69,-0.031,-0.086,-0.013,10,40,UNKNOWN
1171245,-1.71,-4.27,17.28,-0.016,0.118,-0.197,-6.31,-1.92,0.66,-0.031,-0.09,-0.014,10,40,UNKNOWN
1171275,-1.71,-4.28,17.28,-0.016,0.116,-0.196,-6.33,-1.95,0.67,-0.03,-0.091,-0.014,10,40,UNKNOWN
1171305,-1.71,-4.28,17.28,-0.016,0.116,-0.196,-6.29,-1.92,0.65,-0.031,-0.09,-0.015,10,40,UNKNOWN
1171335,-1.71,-4.28,17.28,-0.016,0.116,-0.196,-6.28,-1.93,0.69,-0.03,-0.088,-0.014,10,40,UNKNOWN
1171350,-1.71,-4.28,17.28,-0.016,0.116,-0.196,-6.27,-1.94,0.69,-0.031,-0.091,-0.012,10,40,UNKNOWN
1171395,-1.69,-4.27,17.27,-0.014,0.117,-0.199,-6.3,-1.93,0.65,-0.031,-0.088,-0.016,10,40,UNKNOWN
1171425,-1.69,-4.27,17.27,-0.014,0.117,-0.199,-6.29,-1.91,0.66,-0.03,-0.089,-0.012,10,40,UNKNOWN
1171455,-1.69,-4.27,17.27,-0.014,0.117,-0.199,-6.3,-1.93,0.68,-0.031,-0.091,-0.016,10,40,UNKNOWN
1171485,-1.71,-4.26,17.29,-0.016,0.117,-0.197,-6.29,-1.92,0.67,-0.031,-0.087,-0.014,10,40,UNKNOWN
1171515,-1.71,-4.26,17.29,-0.016,0.117,-0.197,-6.3,-1.96,0.65,-0.029,-0.092,-0.013,10,40,UNKNOWN
1171530,-1.71,-4.26,17.29,-0.016,0.117,-0.197,-6.3,-1.92,0.63,-0.031,-0.089,-0.015,10,40,UNKNOWN
1171560,-1.71,-4.26,17.29,-0.016,0.117,-0.197,-6.3,-1.92,0.64,-0.03,-0.091,-0.015,10,40,UNKNOWN
1171575,-1.71,-4.26,17.29,-0.016,0.117,-0.197,-6.3,-1.94,0.66,-0.031,-0.089,-0.013,10,40,UNKNOWN
1171620,-1.71,-4.29,17.27,-0.016,0.119,-0.198,-6.3,-1.97,0.68,-0.032,-0.09,-0.016,10,40,UNKNOWN
1171650,-1.71,-4.29,17.27,-0.016,0.119,-0.198,-6.3,-1.91,0.64,-0.031,-0.09,-0.014,10,40,UNKNOWN
1171665,-1.71,-4.29,17.27,-0.016,0.119,-0.198,-6.26,-1.93,0.7,-0.03,-0.09,-0.013,10,40,UNKNOWN
1171695,-1.71,-4.29,17.27,-0.016,0.119,-0.198,-6.32,-1.92,0.7,-0.031,-0.089,-0.016,10,40,UNKNOWN
1171725,-1.72,-4.27,17.28,-0.015,0.117,-0.197,-6.32,-1.93,0.68,-0.031,-0.089,-0.015,10,40,UNKNOWN
1171755,-1.72,-4.27,17.28,-0.015,0.117,-0.197,-6.29,-1.92,0.62,-0.031,-0.089,-0.013,10,40,UNKNOWN
1171770,-1.72,-4.27,17.28,-0.015,0.117,-0.197,-6.29,-1.94,0.67,-0.031,-0.089,-0.015,10,40,UNKNOWN
1171815,-1.72,-4.27,17.28,-0.015,0.117,-0.197,-6.29,-1.92,0.7,-0.031,-0.09,-0.013,10,40,UNKNOWN
1171845,-1.69,-4.25,17.28,-0.014,0.117,-0.197,-6.28,-1.93,0.7,-0.03,-0.089,-0.014,10,40,UNKNOWN
1171875,-1.69,-4.25,17.28,-0.014,0.117,-0.197,-6.28,-1.97,0.68,-0.031,-0.089,-0.014,10,40,UNKNOWN
1171890,-1.69,-4.25,17.28,-0.014,0.117,-0.197,-6.28,-1.93,0.7,-0.03,-0.091,-0.013,10,40,UNKNOWN
1171920,-1.69,-4.25,17.28,-0.014,0.117,-0.197,-6.3,-1.92,0.66,-0.032,-0.088,-0.014,10,40,UNKNOWN
1172115,-1.7,-4.26,17.31,-0.017,0.117,-0.197,-6.26,-1.96,0.72,-0.031,-0.091,-0.014,10,40,UNKNOWN
1172175,-1.71,-4.3,17.35,-0.013,0.119,-0.197,-6.29,-1.89,0.65,-0.031,-0.087,-0.015,10,40,UNKNOWN
