timestamp,L_ax,L_ay,L_az,L_gx,L_gy,L_gz,R_ax,R_ay,R_az,R_gx,R_gy,R_gz,L_punch_cnt,R_punch_cnt,label
294921,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-1.59,-3.21,0.97,0.546,1.119,1.366,113,11,UNKNOWN
294936,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-1.5,-3,1.14,0.445,0.892,1.289,113,11,UNKNOWN
294951,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-1.55,-2.85,1.12,0.359,0.655,1.189,113,11,UNKNOWN
294966,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-1.71,-2.67,1.05,0.28,0.458,1.072,113,11,UNKNOWN
294981,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-1.95,-2.49,0.99,0.213,0.332,0.95,113,11,UNKNOWN
294996,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.15,-2.35,0.86,0.166,0.282,0.829,113,11,UNKNOWN
295011,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.28,-2.28,0.83,0.124,0.292,0.709,113,11,UNKNOWN
295026,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.4,-2.26,0.81,0.082,0.339,0.59,113,11,UNKNOWN
295041,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.44,-2.23,0.84,0.028,0.408,0.48,113,11,UNKNOWN
295056,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.48,-2.14,0.89,-0.023,0.49,0.373,113,11,UNKNOWN
295071,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.52,-2.03,0.97,-0.077,0.582,0.27,113,11,UNKNOWN
295086,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.5,-1.85,1.07,-0.127,0.669,0.175,113,11,UNKNOWN
295101,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.53,-1.67,1.18,-0.168,0.749,0.083,113,11,UNKNOWN
295116,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.5,-1.45,1.3,-0.202,0.816,-0.006,113,11,UNKNOWN
295131,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.48,-1.23,1.38,-0.215,0.866,-0.09,113,11,UNKNOWN
295146,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.48,-1.15,1.47,-0.221,0.9,-0.168,113,11,UNKNOWN
295161,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.47,-1.11,1.48,-0.225,0.914,-0.235,113,11,UNKNOWN
295176,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.48,-1.13,1.53,-0.232,0.921,-0.296,113,11,UNKNOWN
295191,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.52,-1.04,1.71,-0.252,0.925,-0.35,113,11,UNKNOWN
295206,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.5,-0.94,1.83,-0.255,0.91,-0.388,113,11,UNKNOWN
295221,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.42,-0.92,1.94,-0.239,0.875,-0.415,113,11,UNKNOWN
295236,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.38,-0.98,1.93,-0.217,0.818,-0.43,113,11,UNKNOWN
295251,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.38,-1.12,1.94,-0.196,0.749,-0.44,113,11,UNKNOWN
295266,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.38,-1.17,1.98,-0.191,0.669,-0.452,113,11,UNKNOWN
295281,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.31,-1.22,1.98,-0.18,0.578,-0.456,113,11,UNKNOWN
295296,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.35,-1.22,1.99,-0.159,0.481,-0.463,113,11,UNKNOWN
295311,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.35,-1.31,1.93,-0.126,0.385,-0.466,113,11,UNKNOWN
295326,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.43,-1.54,1.87,-0.102,0.296,-0.476,113,11,UNKNOWN
295341,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.54,-1.56,1.79,-0.098,0.232,-0.491,113,11,UNKNOWN
295356,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.56,-1.46,1.83,-0.086,0.175,-0.506,113,11,UNKNOWN
295371,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.6,-1.39,1.78,-0.06,0.121,-0.525,113,11,UNKNOWN
295386,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.63,-1.4,1.75,-0.031,0.074,-0.542,113,11,UNKNOWN
295401,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.65,-1.44,1.72,-0.015,0.023,-0.56,113,11,UNKNOWN
295416,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.68,-1.41,1.73,0.001,-0.031,-0.581,113,11,UNKNOWN
295431,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.79,-1.39,1.69,0.008,-0.083,-0.6,113,11,UNKNOWN
295446,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.8,-1.39,1.69,0.011,-0.139,-0.612,113,11,UNKNOWN
295461,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.86,-1.32,1.66,0.012,-0.193,-0.616,113,11,UNKNOWN
295476,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.9,-1.26,1.56,0.021,-0.241,-0.612,113,11,UNKNOWN
295491,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-3,-1.28,1.53,0.027,-0.28,-0.606,113,11,UNKNOWN
295506,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-3.08,-1.28,1.5,0.028,-0.309,-0.589,113,11,UNKNOWN
295521,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-3.16,-1.19,1.51,0.03,-0.329,-0.561,113,11,UNKNOWN
295536,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-3.22,-1.18,1.41,0.036,-0.34,-0.519,113,11,UNKNOWN
295551,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-3.26,-1.12,1.38,0.035,-0.339,-0.474,113,11,UNKNOWN
295566,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-3.27,-1.05,1.4,0.04,-0.331,-0.416,113,11,UNKNOWN
295581,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-3.25,-1,1.35,0.048,-0.332,-0.359,113,11,UNKNOWN
295596,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-3.33,-0.98,1.36,0.052,-0.317,-0.292,113,11,UNKNOWN
295611,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-3.32,-0.96,1.33,0.06,-0.291,-0.226,113,11,UNKNOWN
295626,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-3.33,-0.97,1.33,0.063,-0.268,-0.159,113,11,UNKNOWN
