timestamp,L_ax,L_ay,L_az,L_gx,L_gy,L_gz,R_ax,R_ay,R_az,R_gx,R_gy,R_gz,L_punch_cnt,R_punch_cnt,label
154992,0.28,11.49,-11,-1.117,-0.08,0.679,3.89,-0.66,3.54,-0.292,-0.131,0.093,6,1,UNKNOWN
155007,0.28,11.49,-11,-1.117,-0.08,0.679,4.04,-1.16,3.84,-0.32,0.263,0.095,6,1,UNKNOWN
155022,0.28,11.49,-11,-1.117,-0.08,0.679,4.65,-0.56,4.47,-0.311,0.714,0.125,6,1,UNKNOWN
155037,0.28,11.49,-11,-1.117,-0.08,0.679,6.41,-0.13,6.35,-0.114,0.992,0.119,6,1,UNKNOWN
155052,0.28,11.49,-11,-1.117,-0.08,0.679,7.68,-0.5,7.09,0.052,0.942,0.114,6,1,UNKNOWN
155068,0.7,11.97,-12,-1.386,0.133,0.116,7.53,0.1,7.71,0.219,0.834,0.115,6,1,UNKNOWN
155083,0.7,11.97,-12,-1.386,0.133,0.116,7.85,0.25,8.29,0.462,0.841,0.109,6,1,UNKNOWN
155098,0.7,11.97,-12,-1.386,0.133,0.116,8.49,0,8.4,0.662,0.721,0.08,6,1,UNKNOWN
155113,0.7,11.97,-12,-1.386,0.133,0.116,8.25,-0.42,7.89,0.804,0.558,0.062,6,1,UNKNOWN
155128,0.7,11.97,-12,-1.386,0.133,0.116,7.84,-0.62,6.69,0.909,0.622,0.012,6,1,UNKNOWN
155143,0.7,11.97,-12,-1.386,0.133,0.116,7.4,-0.61,5.89,1.005,0.888,-0.034,6,1,UNKNOWN
155158,0.7,11.97,-12,-1.386,0.133,0.116,8.35,-0.99,5.55,1.054,1.163,-0.104,6,1,UNKNOWN
155173,0.7,11.97,-12,-1.386,0.133,0.116,9.52,-1.51,5.4,1.04,1.13,-0.198,6,1,UNKNOWN
155188,0.7,11.97,-12,-1.386,0.133,0.116,9.96,-1.86,4.37,0.918,0.858,-0.275,6,1,UNKNOWN
155203,0.7,11.97,-12,-1.386,0.133,0.116,9.31,-1.94,3.23,0.764,0.663,-0.333,6,1,UNKNOWN
155218,0.7,11.97,-12,-1.386,0.133,0.116,8.55,-1.94,2.29,0.563,0.679,-0.365,6,1,UNKNOWN
155233,0.7,11.97,-12,-1.386,0.133,0.116,8.67,-2.04,2.24,0.366,0.731,-0.465,6,1,UNKNOWN
155248,0.7,11.97,-12,-1.386,0.133,0.116,8.99,-2.4,1.94,0.148,0.527,-0.519,6,1,UNKNOWN
155263,0.7,11.97,-12,-1.386,0.133,0.116,8.86,-2.73,1.28,-0.182,0.107,-0.486,6,1,UNKNOWN
155278,0.7,11.97,-12,-1.386,0.133,0.116,6.91,-2.85,-0.44,-0.523,-0.025,-0.428,6,1,UNKNOWN
155293,0.7,11.97,-12,-1.386,0.133,0.116,6.02,-3.37,-0.79,-0.773,0.507,-0.476,6,1,UNKNOWN
155308,0.7,11.97,-12,-1.386,0.133,0.116,7.04,-3.16,-0.04,-1.076,0.886,-0.441,6,1,UNKNOWN
155323,0.7,11.97,-12,-1.386,0.133,0.116,7.7,-3.05,1.03,-1.37,0.784,-0.43,6,1,UNKNOWN
155338,0.7,11.97,-12,-1.386,0.133,0.116,7.55,-2.6,1.81,-1.653,0.623,-0.358,6,1,UNKNOWN
155353,0.7,11.97,-12,-1.386,0.133,0.116,8.47,-2.33,3.27,-1.846,0.411,-0.251,6,1,UNKNOWN
155368,0.7,11.97,-12,-1.386,0.133,0.116,9.22,-2.4,4.47,-1.919,0.257,-0.212,6,1,UNKNOWN
155383,0.7,11.97,-12,-1.386,0.133,0.116,10.14,-2.5,5.41,-1.983,-0.003,-0.212,6,1,UNKNOWN
155398,0.7,11.97,-12,-1.386,0.133,0.116,9.81,-2.04,5.88,-2.029,-0.313,-0.162,6,1,UNKNOWN
156478,-4.29,4.68,-12.4,-2.077,-0.67,-0.765,4.97,0.88,1.96,-0.086,-0.199,-0.072,6,1,UNKNOWN
156493,-4.29,4.68,-12.4,-2.077,-0.67,-0.765,4.65,1.34,1.65,-0.098,-0.082,-0.052,6,1,UNKNOWN
156508,-4.29,4.68,-12.4,-2.077,-0.67,-0.765,4.71,1.37,1.56,-0.09,0.028,-0.039,6,1,UNKNOWN
156523,-4.29,4.68,-12.4,-2.077,-0.67,-0.765,4.8,1.37,1.51,-0.117,0.132,-0.027,6,1,UNKNOWN
156538,-4.61,7.53,-10.95,-3.45,-0.266,-1.125,5.31,1.35,1.82,-0.138,0.16,-0.012,6,1,UNKNOWN
156554,-4.61,7.53,-10.95,-3.45,-0.266,-1.125,5.33,1.42,1.84,-0.154,0.068,-0.008,6,1,UNKNOWN
156569,-4.61,7.53,-10.95,-3.45,-0.266,-1.125,5.01,1.62,1.73,-0.164,0.049,0.014,6,1,UNKNOWN
156614,-4.61,7.53,-10.95,-3.45,-0.266,-1.125,4.6,1.71,2.05,-0.159,0.21,0.129,6,1,UNKNOWN
156659,-4.61,7.53,-10.95,-3.45,-0.266,-1.125,4.78,2.14,2,-0.283,0.057,0.271,6,1,UNKNOWN
156674,-4.61,7.53,-10.95,-3.45,-0.266,-1.125,4.92,2.12,2.21,-0.269,-0.011,0.302,6,1,UNKNOWN
156719,-4.2,10.31,-10.44,-2.214,-0.431,-0.974,4.28,2.35,2.69,-0.253,-0.021,0.433,6,1,UNKNOWN
156734,-4.2,10.31,-10.44,-2.214,-0.431,-0.974,4.49,2.38,3,-0.218,-0.034,0.471,6,1,UNKNOWN
156779,-4.48,10.99,-10.65,-2.309,-0.752,-0.061,4.08,2.34,2.87,-0.128,-0.296,0.536,6,1,UNKNOWN
156794,-4.48,10.99,-10.65,-2.309,-0.752,-0.061,3.72,2.2,2.67,-0.069,-0.157,0.564,6,1,UNKNOWN
156839,-4.48,10.99,-10.65,-2.309,-0.752,-0.061,4.85,1.42,2.62,0.018,0.294,0.609,6,1,UNKNOWN
156854,-4.48,10.99,-10.65,-2.309,-0.752,-0.061,5.21,1.23,2.6,0.031,0.255,0.584,6,1,UNKNOWN
156899,-7.24,8.62,-10.99,-2.335,-0.739,-0.28,5.28,1.09,2.09,0.001,0.355,0.529,6,1,UNKNOWN
156914,-7.24,8.62,-10.99,-2.335,-0.739,-0.28,5.58,1,2.16,-0.005,0.351,0.489,6,1,UNKNOWN
156959,-7.24,8.62,-10.99,-2.335,-0.739,-0.28,5.79,0.92,2.22,-0.064,0.029,0.404,6,1,UNKNOWN
156974,-7.24,8.62,-10.99,-2.335,-0.739,-0.28,5.51,1.04,2.17,-0.062,-0.035,0.379,6,1,UNKNOWN
157019,-8.400001,11,-8.11,-2.302,-0.657,-0.105,4.93,1,1.78,-0.017,0.073,0.328,6,1,UNKNOWN
157034,-8.400001,11,-8.11,-2.302,-0.657,-0.105,4.93,0.79,1.81,-0.009,0.198,0.327,6,1,UNKNOWN
157079,-8.400001,11,-8.11,-2.302,-0.657,-0.105,5.53,0.61,2.13,-0.009,0.272,0.259,6,1,UNKNOWN
157094,-8.400001,11,-8.11,-2.302,-0.657,-0.105,5.65,0.63,2.19,-0.017,0.203,0.234,6,1,UNKNOWN
157139,-10.84,12.28,-10.56,-0.395,0.042,0.477,4.94,0.79,2.52,-0.04,0.137,0.205,6,1,UNKNOWN
157154,-10.84,12.28,-10.56,-0.395,0.042,0.477,4.97,0.75,2.68,-0.027,0.246,0.2,6,1,UNKNOWN
157199,-10.84,12.28,-10.56,-0.395,0.042,0.477,5.11,0.9,2.99,0.023,0.363,0.158,6,1,UNKNOWN
157214,-10.84,12.28,-10.56,-0.395,0.042,0.477,5.11,0.82,2.95,0.05,0.407,0.162,6,1,UNKNOWN
157260,-8.72,7.11,-6.44,-2.448,1.533,0.594,5.45,0.56,2.94,0.025,0.35,0.122,6,1,UNKNOWN
157275,-8.72,7.11,-6.44,-2.448,1.533,0.594,5.27,0.59,3.03,0.025,0.375,0.13,6,1,UNKNOWN
157380,-4.92,14.84,-6.08,-3.158,1.006,0.231,5.74,0.34,2.83,0.179,0.448,0.04,6,1,UNKNOWN
157440,-4.92,14.84,-6.08,-3.158,1.006,0.231,6.3,-0.03,3.08,0.261,0.399,0.01,6,1,UNKNOWN
157455,-4.92,14.84,-6.08,-3.158,1.006,0.231,6.3,-0.23,2.93,0.256,0.297,0.014,6,1,UNKNOWN
157500,-6.63,13.98,-8.639999,-0.205,-0.088,-0.122,5.05,-0.13,2.83,0.225,0.355,0.02,6,1,UNKNOWN
157515,-6.63,13.98,-8.639999,-0.205,-0.088,-0.122,4.73,0.18,2.94,0.226,0.567,0.058,6,1,UNKNOWN
157560,-6.63,13.98,-8.639999,-0.205,-0.088,-0.122,4.56,0.74,4.33,0.483,1.788,0.212,6,1,UNKNOWN
157576,-6.63,13.98,-8.639999,-0.205,-0.088,-0.122,5.36,0.78,5.19,0.589,2.081,0.319,6,1,UNKNOWN
157621,-7.14,11.58,-8.91,-0.357,0.247,0.681,10.03,-0.14,5.08,0.752,1.171,0.445,6,1,UNKNOWN
157636,-7.14,11.58,-8.91,-0.357,0.247,0.681,10.3,-0.39,5.18,0.685,0.286,0.405,6,1,UNKNOWN
157681,-5.4,14.38,-7.12,-1.076,0.849,1.151,7.45,-0.57,4.26,0.678,-0.981,0.165,6,1,UNKNOWN
157696,-5.4,14.38,-7.12,-1.076,0.849,1.151,6.48,-0.64,3.74,0.691,-0.991,0.109,6,1,UNKNOWN
157802,-3.88,14.44,-7.35,-1.063,0.075,1.205,8.94,-2.32,4.66,0.902,1.3,0.33,6,1,UNKNOWN
157817,-3.88,14.44,-7.35,-1.063,0.075,1.205,9.5,-3.07,4.86,0.785,0.78,0.327,6,1,UNKNOWN
157832,-3.88,14.44,-7.35,-1.063,0.075,1.205,9.76,-3.94,4.94,0.685,0.225,0.187,6,1,UNKNOWN
157922,-3.88,14.44,-7.35,-1.063,0.075,1.205,3.51,-2.86,1.88,0.391,2.783,0.114,6,1,UNKNOWN
157937,-3.76,8.679999,-8.76,0.712,-0.203,0.88,5.16,-2.97,3.58,0.328,3.373,0.21,6,1,UNKNOWN
157982,-3.76,8.679999,-8.76,0.712,-0.203,0.88,8.62,-2.81,7.71,0.264,3.494,0.32,6,1,UNKNOWN
157997,-3.76,8.679999,-8.76,0.712,-0.203,0.88,10.86,-3.72,8.85,0.173,2.993,0.323,6,1,UNKNOWN
158042,-2.46,15.47,-11.72,-1.638,1.254,0.878,11.02,-3.88,9.48,-0.115,0.567,0.347,6,1,UNKNOWN
158057,-2.46,15.47,-11.72,-1.638,1.254,0.878,10.59,-4.41,8.66,-0.168,0.086,0.282,6,1,UNKNOWN
158102,-2.46,15.47,-11.72,-1.638,1.254,0.878,7.76,-3.75,6,-0.379,0.2,-0.152,6,1,UNKNOWN
158117,-2.46,15.47,-11.72,-1.638,1.254,0.878,8.32,-3.7,6.65,-0.249,0.81,-0.356,6,1,UNKNOWN
158222,-0.99,14.84,-6.13,-0.41,0.637,1.044,6.86,-1.5,9.52,0.116,0.973,-0.225,6,1,UNKNOWN
158237,0.37,11.77,-8.13,-1.18,0.316,0.715,7.53,-1.94,9.25,0.069,1.015,-0.176,6,1,UNKNOWN
158252,0.37,11.77,-8.13,-1.18,0.316,0.715,7.8,-1.82,8.54,-0.039,1.061,-0.183,6,1,UNKNOWN
158282,0.37,11.77,-8.13,-1.18,0.316,0.715,7.54,-1.68,7.85,-0.122,2.06,-0.135,6,1,UNKNOWN
158297,0.37,11.77,-8.13,-1.18,0.316,0.715,9.52,-1.69,9.59,-0.18,2.394,-0.199,6,1,UNKNOWN
158342,0.37,11.77,-8.13,-1.18,0.316,0.715,15.18,-1.58,13.92,-0.347,-1.259,-0.495,6,1,UNKNOWN
158357,0.43,17.93,-7.72,-1.611,-0.474,0.37,12.18,-0.91,12.49,-0.28,-2.169,-0.53,6,1,UNKNOWN
158402,0.43,17.93,-7.72,-1.611,-0.474,0.37,9.68,-0.14,10.44,0.243,-1.414,-0.622,6,1,UNKNOWN
158417,0.43,17.93,-7.72,-1.611,-0.474,0.37,9.18,-0.25,9.73,0.368,-1.066,-0.68,6,1,UNKNOWN
158462,0.43,17.93,-7.72,-1.611,-0.474,0.37,7.62,-0.83,8.6,0.457,-0.497,-0.709,6,1,UNKNOWN
158477,0.43,17.93,-7.72,-1.611,-0.474,0.37,6.64,-0.77,8.5,0.495,-0.071,-0.626,6,1,UNKNOWN
158522,0.47,14.37,-7.46,0.565,-0.361,1.221,6.13,-1.53,8.01,0.44,0.132,-0.295,6,1,UNKNOWN
158537,0.47,14.37,-7.46,0.565,-0.361,1.221,4.71,-1.3,7.5,0.413,0.652,-0.162,6,1,UNKNOWN
158582,0.47,14.37,-7.46,0.565,-0.361,1.221,4.32,-2.39,7.34,0.159,0.242,0.416,6,1,UNKNOWN
158597,-0.18,14.38,-11,-1.086,0.338,0.44,5.17,-3.58,6.68,0.099,0.683,0.388,6,1,UNKNOWN
158642,-0.18,14.38,-11,-1.086,0.338,0.44,12.2,-4.58,10.28,-0.226,0.464,0.291,6,1,UNKNOWN
158657,-0.18,14.38,-11,-1.086,0.338,0.44,13.09,-3.53,11.92,-0.555,-0.988,0.372,6,1,UNKNOWN
158762,1.76,16.92,-10.03,-0.766,0.695,0.334,7.72,-2.96,4.95,-0.725,-1.664,0.538,6,1,UNKNOWN
158777,1.76,16.92,-10.03,-0.766,0.695,0.334,8.28,-2.89,5.1,-0.628,-1.462,0.47,6,1,UNKNOWN
158822,1.93,11.34,-9.8,1.728,0.474,0.323,14.05,-6.12,4.25,-0.883,-2.58,-0.053,6,1,UNKNOWN
158837,1.93,11.34,-9.8,1.728,0.474,0.323,12.07,-5.87,3.38,-1.101,-3.279,-0.295,6,1,UNKNOWN
158942,2.76,7.67,-10.82,0.729,0.931,0.845,2.68,1.37,0.19,-2.094,-2.103,-1.014,6,1,UNKNOWN
158957,2.76,7.67,-10.82,0.729,0.931,0.845,1.94,1.88,0.91,-2.153,-1.863,-0.942,6,1,UNKNOWN
158972,2.76,7.67,-10.82,0.729,0.931,0.845,1.04,2.84,1.63,-2.144,-1.728,-1.003,6,1,UNKNOWN
159002,2.76,7.67,-10.82,0.729,0.931,0.845,-0.6,4.78,3.12,-1.714,-0.762,-0.731,6,1,UNKNOWN
159017,2.76,7.67,-10.82,0.729,0.931,0.845,0.05,5.58,3.62,-1.424,2.075,-0.55,6,1,UNKNOWN
159062,4.04,10.26,-10.75,-0.971,0.945,0.511,7.03,5.47,6.2,-1.011,4.509,0.017,6,1,UNKNOWN
159077,4.04,10.26,-10.75,-0.971,0.945,0.511,6.06,5.52,5.65,-1.071,-1.031,0.353,6,1,UNKNOWN
159182,5.43,12.63,-10.64,-0.32,0.467,0.551,3.42,0.99,0.86,0.026,-3.386,1.797,6,1,UNKNOWN
159197,5.43,12.63,-10.64,-0.32,0.467,0.551,4.11,0.08,0.96,0.315,-3.152,1.685,6,1,UNKNOWN
159242,5.43,12.63,-10.64,-0.32,0.467,0.551,3.69,-1.47,3.43,0.796,-2.391,1.132,6,1,UNKNOWN
159257,5.43,12.63,-10.64,-0.32,0.467,0.551,4.54,-2.17,1.91,0.839,-2.079,0.896,6,1,UNKNOWN
159302,4.69,9.11,-11.58,-0.82,0.331,0.365,2.62,-2.33,-0.68,0.687,-2.358,0.364,6,1,UNKNOWN
