timestamp,L_ax,L_ay,L_az,L_gx,L_gy,L_gz,R_ax,R_ay,R_az,R_gx,R_gy,R_gz,L_punch_cnt,R_punch_cnt,label
882915,9.46,0.5,-5.92,0.044,-0.291,0.14,-2.24,1.86,-19.37,0.079,0.038,0.079,12,108,UNKNOWN
882930,9.46,0.5,-5.92,0.044,-0.291,0.14,-1.96,1.8,-19.06,0.072,-0.015,0.093,12,108,UNKNOWN
882945,9.46,0.5,-5.92,0.044,-0.291,0.14,-2.28,1.66,-19.07,0.101,-0.059,0.054,12,108,UNKNOWN
882960,9.46,0.5,-5.92,0.044,-0.291,0.14,-2.22,1.54,-19.2,0.059,-0.095,0.095,12,108,UNKNOWN
882975,9.46,0.5,-5.92,0.044,-0.291,0.14,-2.59,1.69,-19.35,0.031,-0.135,0.096,12,108,UNKNOWN
882990,9.46,0.5,-5.92,0.044,-0.291,0.14,-2.2,1.51,-18.99,-0.074,-0.083,0.157,12,108,UNKNOWN
883005,9.46,0.5,-5.92,0.044,-0.291,0.14,-2.82,1.58,-19.36,-0.013,-0.113,0.093,12,108,UNKNOWN
883020,9.46,0.5,-5.92,0.044,-0.291,0.14,-3.02,1.16,-19.92,-0.083,-0.083,0.14,12,108,UNKNOWN
883035,9.46,0.5,-5.92,0.044,-0.291,0.14,-3.47,1.53,-20.24,-0.124,0.022,0.133,12,108,UNKNOWN
883050,9.46,0.5,-5.92,0.044,-0.291,0.14,-3.66,1.93,-20.39,-0.045,0.206,0.097,12,108,UNKNOWN
883065,9.46,0.5,-5.92,0.044,-0.291,0.14,-3.48,2.04,-20.42,0.038,0.411,0.047,12,108,UNKNOWN
883080,9.46,0.5,-5.92,0.044,-0.291,0.14,-2.53,1.65,-20.13,0.121,0.507,0.018,12,108,UNKNOWN
883095,9.46,0.5,-5.92,0.044,-0.291,0.14,-1.66,1.2,-19.45,0.119,0.452,-0.004,12,108,UNKNOWN
883110,9.46,0.5,-5.92,0.044,-0.291,0.14,-1.51,0.95,-19,0.066,0.288,0.001,12,108,UNKNOWN
883125,9.46,0.5,-5.92,0.044,-0.291,0.14,-1.67,0.88,-18.79,-0.013,0.182,-0.009,12,108,UNKNOWN
883140,9.46,0.5,-5.92,0.044,-0.291,0.14,-1.92,0.87,-18.89,-0.085,0.133,-0.023,12,108,UNKNOWN
883155,9.46,0.5,-5.92,0.044,-0.291,0.14,-2.09,0.97,-18.98,-0.136,0.119,-0.063,12,108,UNKNOWN
883170,9.46,0.5,-5.92,0.044,-0.291,0.14,-2.24,1.05,-19.06,-0.155,0.131,-0.121,12,108,UNKNOWN
883185,9.46,0.5,-5.92,0.044,-0.291,0.14,-2.23,1.09,-19.2,-0.162,0.145,-0.196,12,108,UNKNOWN
883200,9.46,0.5,-5.92,0.044,-0.291,0.14,-2.46,2.57,-19.53,-0.104,0.149,-0.279,12,108,UNKNOWN
883215,9.46,0.5,-5.92,0.044,-0.291,0.14,-2.07,1.15,-19.38,-0.068,0.138,-0.241,12,108,UNKNOWN
883230,9.46,0.5,-5.92,0.044,-0.291,0.14,-2.33,1.25,-19.57,-0.165,0.172,-0.213,12,108,UNKNOWN
883245,9.46,0.5,-5.92,0.044,-0.291,0.14,-1.47,1.21,-18.96,-0.498,0.03,0.12,12,108,UNKNOWN
883260,9.46,0.5,-5.92,0.044,-0.291,0.14,-1.57,1.41,-18.88,-0.75,-0.186,0.436,12,108,UNKNOWN
883275,9.46,0.5,-5.92,0.044,-0.291,0.14,-2.36,2.31,-19.39,-0.407,-0.211,0.024,12,108,UNKNOWN
