timestamp,L_ax,L_ay,L_az,L_gx,L_gy,L_gz,R_ax,R_ay,R_az,R_gx,R_gy,R_gz,L_punch_cnt,R_punch_cnt,label
9983097,-3.88,6.49,3.8,1.53,0.807,0.367,-3.39,0.7,-1.06,-1.678,-0.824,0.488,19,48,UNKNOWN
9983113,-3.88,6.49,3.8,1.53,0.807,0.367,-3.43,1.43,-0.86,-1.834,0.018,0.393,19,48,UNKNOWN
9983128,-3.88,6.49,3.8,1.53,0.807,0.367,-0.81,-0.41,-0.62,-2.032,0.557,-0.745,19,48,UNKNOWN
9983143,-2.76,4.45,3.24,0.946,-0.59,-0.307,-3.92,2.39,-3.42,-1.825,1.641,-1.584,19,48,UNKNOWN
9983158,-2.76,4.45,3.24,0.946,-0.59,-0.307,-2.72,2.27,1.58,-2.206,1.586,-1.186,19,48,UNKNOWN
9983173,-2.76,4.45,3.24,0.946,-0.59,-0.307,-1.5,4.5,2.12,-2.112,0.742,-0.371,19,48,UNKNOWN
9983188,-2.76,4.45,3.24,0.946,-0.59,-0.307,-0.54,2.86,2.39,-1.844,0.281,-0.3,19,48,UNKNOWN
9983203,-2.76,4.45,3.24,0.946,-0.59,-0.307,-1.82,3.46,0.71,-1.707,-0.007,-0.341,19,48,UNKNOWN
9983218,-2.76,4.45,3.24,0.946,-0.59,-0.307,-2.25,4.54,0.5,-1.668,0.041,-0.104,19,48,UNKNOWN
9983233,-2.76,4.45,3.24,0.946,-0.59,-0.307,-1.69,4.54,0.67,-1.592,0.087,0.124,19,48,UNKNOWN
9983248,-2.76,4.45,3.24,0.946,-0.59,-0.307,-1.08,4.18,1.13,-1.437,0.062,0.235,19,48,UNKNOWN
9983263,-3.24,5.76,3.16,-1.407,-0.955,0.012,-0.48,4.06,1.33,-1.313,-0.03,0.19,19,48,UNKNOWN
9983278,-3.24,5.76,3.16,-1.407,-0.955,0.012,-1.28,5.43,2.38,-1.098,-0.271,0.224,19,48,UNKNOWN
9983293,-3.24,5.76,3.16,-1.407,-0.955,0.012,-1.48,5.24,1.62,-0.929,-0.628,0.367,19,48,UNKNOWN
9983308,-3.24,5.76,3.16,-1.407,-0.955,0.012,-2.2,4.68,0.5,-0.96,-0.406,0.367,19,48,UNKNOWN
9983323,-3.24,5.76,3.16,-1.407,-0.955,0.012,-2.24,4.96,-0.34,-1.022,0.145,0.452,19,48,UNKNOWN
9983338,-3.24,5.76,3.16,-1.407,-0.955,0.012,-0.85,3.87,1.45,-1.043,0.393,0.332,19,48,UNKNOWN
9983353,-3.24,5.76,3.16,-1.407,-0.955,0.012,-1.13,4.57,0.54,-1.098,0.511,0.186,19,48,UNKNOWN
9983368,-3.24,5.76,3.16,-1.407,-0.955,0.012,-1.32,5.08,1,-1.303,0.621,0.096,19,48,UNKNOWN
9983398,-5.11,6.64,2.91,-0.91,-2.171,-0.315,-1.35,6.1,1.45,-1.421,0.582,0.153,19,48,UNKNOWN
9983413,-5.11,6.64,2.91,-0.91,-2.171,-0.315,-1.54,6.54,1.55,-1.295,0.758,0.318,19,48,UNKNOWN
9983428,-5.11,6.64,2.91,-0.91,-2.171,-0.315,-0.6,6.17,1.02,-1.085,0.787,0.389,19,48,UNKNOWN
9983443,-5.11,6.64,2.91,-0.91,-2.171,-0.315,-0.34,5.68,0.85,-1.029,0.881,0.295,19,48,UNKNOWN
9983458,-5.11,6.64,2.91,-0.91,-2.171,-0.315,-1.17,6.5,0.57,-0.866,1.043,0.208,19,48,UNKNOWN
9983473,-6.55,6.64,5.36,-0.556,-2.285,-0.694,-0.55,6.42,0.57,-0.605,1.327,0.161,19,48,UNKNOWN
9983488,-6.55,6.64,5.36,-0.556,-2.285,-0.694,0.44,6.13,1.03,-0.375,1.308,-0.105,19,48,UNKNOWN
9983503,-6.55,6.64,5.36,-0.556,-2.285,-0.694,0.22,6.46,0.8,-0.152,1.364,-0.355,19,48,UNKNOWN
9983518,-6.55,6.64,5.36,-0.556,-2.285,-0.694,0.15,6.8,0.8,-0.106,1.479,-0.407,19,48,UNKNOWN
