timestamp,L_ax,L_ay,L_az,L_gx,L_gy,L_gz,R_ax,R_ay,R_az,R_gx,R_gy,R_gz,L_punch_cnt,R_punch_cnt,label
8110596,-2.06,-4.12,17.96,-0.102,0.107,-0.009,2.34,0.94,0.42,-0.111,0.096,-0.352,7,20,UNKNOWN
8110612,-2.06,-4.12,17.96,-0.102,0.107,-0.009,2.53,0.67,0.04,-0.152,0.022,-0.364,7,20,UNKNOWN
8110627,-2.06,-4.12,17.96,-0.102,0.107,-0.009,2.38,0.84,0.27,-0.251,-0.032,-0.372,7,20,UNKNOWN
8110642,-2.06,-4.12,17.96,-0.102,0.107,-0.009,2.32,0.89,0.39,-0.21,-0.021,-0.37,7,20,UNKNOWN
8110657,-2.06,-4.12,17.96,-0.102,0.107,-0.009,2.32,0.89,0.16,-0.174,0.023,-0.363,7,20,UNKNOWN
8110672,-2.05,-4.13,17.94,-0.104,0.109,-0.009,2.4,0.86,0.29,-0.174,0.025,-0.362,7,20,UNKNOWN
8110687,-2.05,-4.13,17.94,-0.104,0.109,-0.009,2.39,0.81,0.25,-0.184,0.006,-0.368,7,20,UNKNOWN
8110702,-2.05,-4.13,17.94,-0.104,0.109,-0.009,2.43,0.81,0.28,-0.208,-0.01,-0.37,7,20,UNKNOWN
8110717,-2.05,-4.13,17.94,-0.104,0.109,-0.009,2.4,0.87,0.2,-0.214,-0.021,-0.374,7,20,UNKNOWN
8110732,-2.05,-4.13,17.94,-0.104,0.109,-0.009,2.34,0.87,0.29,-0.196,0.002,-0.37,7,20,UNKNOWN
8110747,-2.05,-4.13,17.94,-0.104,0.109,-0.009,2.39,0.83,0.25,-0.193,0,-0.371,7,20,UNKNOWN
8110762,-2.05,-4.13,17.94,-0.104,0.109,-0.009,2.35,0.86,0.22,-0.205,-0.006,-0.371,7,20,UNKNOWN
8110777,-2.05,-4.13,17.94,-0.104,0.109,-0.009,2.37,0.83,0.26,-0.191,0.004,-0.369,7,20,UNKNOWN
8110792,-2.05,-4.15,18.01,-0.104,0.111,-0.008,2.4,0.81,0.28,-0.19,0.004,-0.371,7,20,UNKNOWN
8110807,-2.05,-4.15,18.01,-0.104,0.111,-0.008,2.4,0.88,0.21,-0.196,0.001,-0.373,7,20,UNKNOWN
