timestamp,L_ax,L_ay,L_az,L_gx,L_gy,L_gz,R_ax,R_ay,R_az,R_gx,R_gy,R_gz,L_punch_cnt,R_punch_cnt,label
433552,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.87,-0.83,2.22,0.092,0.572,-0.057,113,18,UNKNOWN
433567,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.81,-0.74,2.19,0.132,0.573,-0.021,113,18,UNKNOWN
433582,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.72,-0.61,2.36,0.166,0.565,0.022,113,18,UNKNOWN
433597,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.54,-0.53,2.34,0.207,0.529,0.064,113,18,UNKNOWN
433612,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.57,-0.64,2.12,0.246,0.506,0.109,113,18,UNKNOWN
433627,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.37,-0.86,2.15,0.253,0.498,0.153,113,18,UNKNOWN
433642,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.38,-0.79,2.18,0.243,0.482,0.198,113,18,UNKNOWN
433657,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.33,-0.8,2.35,0.255,0.503,0.232,113,18,UNKNOWN
433672,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.21,-0.98,2.35,0.287,0.529,0.265,113,18,UNKNOWN
433687,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.25,-1.3,2.15,0.314,0.568,0.287,113,18,UNKNOWN
433702,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-1.92,-1.53,2.14,0.325,0.595,0.281,113,18,UNKNOWN
433717,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-2.06,-1.72,2.08,0.323,0.626,0.268,113,18,UNKNOWN
433732,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-1.74,-1.72,2.26,0.31,0.65,0.245,113,18,UNKNOWN
433747,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-1.66,-1.68,2.26,0.313,0.62,0.222,113,18,UNKNOWN
433762,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-1.63,-1.74,2.08,0.309,0.539,0.183,113,18,UNKNOWN
433777,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-1.61,-1.89,1.99,0.285,0.516,0.157,113,18,UNKNOWN
433792,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-1.71,-1.78,2.07,0.219,0.487,0.136,113,18,UNKNOWN
433807,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-1.79,-1.36,2.37,0.153,0.489,0.135,113,18,UNKNOWN
433822,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-1.65,-1.05,2.6,0.111,0.498,0.151,113,18,UNKNOWN
433837,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-1.67,-0.96,2.64,0.093,0.476,0.182,113,18,UNKNOWN
433852,-4.96,-37.69,14.49,-1.811,7.941,-0.93,-1.75,-1.09,2.62,0.065,0.51,0.188,113,18,UNKNOWN
